Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
Frozen,Madonna,Video Collection: 1993-1999,1999,4.95 MB,"5 minutes, 9 seconds",iPod_Control/Music/F04/DVRE.mp3,Dance,MP3,128,44100,4947730,309,2,No rating,2018-04-08 18:13:58 UTC,3606056038,,
Colors of the wind,Vanessa Williams,,0,4.11 MB,"4 minutes, 19 seconds",iPod_Control/Music/F00/BZHR.m4a,Rock,M4A,128,44100,4109404,259,24,No rating,2018-05-07 16:37:45 UTC,3608555865,,
Take This Waltz,Leonard Cohen,More Best of Leonard Cohen,1997,8.10 MB,"5 minutes, 58 seconds",iPod_Control/Music/F39/HYMN.mp3,Desconocido,MP3,32,44100,8095942,358,22,No rating,2020-08-18 20:16:01 UTC,3680626561,,
Dance Me to the End of Love,Leonard Cohen,More Best of Leonard Cohen,1997,8.56 MB,"6 minutes, 12 seconds",iPod_Control/Music/F26/EURJ.mp3,Desconocido,MP3,32,44100,8564864,372,53,No rating,2020-08-18 20:15:28 UTC,3680626528,,
Suzanne,Leonard Cohen,More Best of Leonard Cohen,1997,5.49 MB,"22 minutes, 51 seconds",iPod_Control/Music/F40/AMQG.mp3,Desconocido,MP3,32,44100,5486845,1371,6,No rating,2020-08-18 20:16:01 UTC,3680626561,,
Hay Amores,Shakira,EP Love In the Time of Cholera,2007,3.84 MB,"3 minutes, 28 seconds",iPod_Control/Music/F09/DPVR.m4a,Banda sonora,M4A,128,48000,3841532,208,11,No rating,2020-08-18 20:15:31 UTC,3680626531,,por josemin
Wherever I Lay My Hat (That's My Home),Paul Young,From Time to Time: The Singles Collection,1991,3.99 MB,"4 minutes, 12 seconds",iPod_Control/Music/F41/JLMX.m4a,Pop,M4A,128,44100,3986089,252,8,No rating,2020-08-18 20:15:31 UTC,3680626531,Barrett Strong/Marvin Gaye/Norman Whitfield,
All the Way,Frank Sinatra,The Reprise Years,1991,3.97 MB,"3 minutes, 31 seconds",iPod_Control/Music/F40/CTVL.m4a,,M4A,128,44100,3972395,211,3,No rating,2020-08-18 20:15:31 UTC,3680626531,Jimmy Van Heusen,
Come Rain or Come Shine,Frank Sinatra,The Reprise Years,1991,4.54 MB,"4 minutes, 6 seconds",iPod_Control/Music/F40/YYWP.m4a,,M4A,128,44100,4536865,246,4,No rating,2020-08-18 20:15:31 UTC,3680626531,Harold Arlen,
I Get a Kick Out of You,Frank Sinatra,The Reprise Years,1991,3.70 MB,"3 minutes, 15 seconds",iPod_Control/Music/F00/PCRK.m4a,,M4A,128,44100,3695945,195,0,No rating,2020-08-18 20:15:23 UTC,3680626523,Cole Porter,
Night and Day (Disco version),Frank Sinatra,The Reprise Years,1991,2.66 MB,"2 minutes, 12 seconds",iPod_Control/Music/F26/IVEL.m4a,,M4A,128,44100,2661706,132,1,No rating,2020-08-18 20:15:31 UTC,3680626531,Cole Porter,
All or Nothing at All,Frank Sinatra,The Reprise Years,1991,4.36 MB,"3 minutes, 59 seconds",iPod_Control/Music/F29/HDWR.m4a,,M4A,128,44100,4360494,239,0,No rating,2020-08-18 20:15:23 UTC,3680626523,"Arthur Altman, Jack Lawrence",
I've Got You Under My Skin,Frank Sinatra,The Reprise Years,1991,3.99 MB,"3 minutes, 32 seconds",iPod_Control/Music/F42/XDRB.m4a,,M4A,128,44100,3992908,212,0,No rating,2020-08-18 20:15:23 UTC,3680626523,Cole Porter,
Didn't We,Frank Sinatra,The Reprise Years,1991,3.41 MB,"2 minutes, 56 seconds",iPod_Control/Music/F33/WSUA.m4a,,M4A,128,44100,3410996,176,0,No rating,2020-08-18 20:15:30 UTC,3680626530,Jimmy Webb,
Strangers in the Night,Frank Sinatra,The Reprise Years,1991,3.09 MB,"2 minutes, 37 seconds",iPod_Control/Music/F15/OGHO.m4a,,M4A,128,44100,3090668,157,2,No rating,2020-08-18 20:15:30 UTC,3680626530,Bert Kaempfert,
It Was a Very Good Year,Frank Sinatra,The Reprise Years,1991,4.81 MB,"4 minutes, 27 seconds",iPod_Control/Music/F11/AAVZ.m4a,,M4A,128,44100,4814310,267,3,No rating,2020-08-18 20:15:23 UTC,3680626523,Ervin Drake,
Call Me Irresponsible,Frank Sinatra,The Reprise Years,1991,3.33 MB,"2 minutes, 56 seconds",iPod_Control/Music/F43/EKMJ.m4a,,M4A,128,44100,3334394,176,0,No rating,2020-08-18 20:15:30 UTC,3680626530,Jimmy Van Heusen,
One for My Baby,Frank Sinatra,The Reprise Years,1991,5.19 MB,"4 minutes, 45 seconds",iPod_Control/Music/F26/XZPZ.m4a,,M4A,128,44100,5189842,285,4,No rating,2020-08-18 20:15:24 UTC,3680626524,,
How Insensitive,Frank Sinatra,The Reprise Years,1991,3.74 MB,"3 minutes, 17 seconds",iPod_Control/Music/F36/ZPUN.m4a,,M4A,128,44100,3744892,197,0,No rating,2020-08-18 20:15:31 UTC,3680626531,Antônio Carlos Jobim,
