Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
An Ascent,Born of Osiris,,0,4.86 MB,"3 minutes, 21 seconds",iPod_Control/Music/F01/DNVQ.mp3,,MP3,192,44100,4864473,201,3,No rating,2012-09-14 17:30:00 UTC,3430488600,,
Exist,,,0,3.32 MB,"2 minutes, 16 seconds",iPod_Control/Music/F00/BPTA.mp3,,MP3,192,44100,3318442,136,4,No rating,2012-09-14 17:31:58 UTC,3430488718,,
A Descent,,,0,3.37 MB,"2 minutes, 18 seconds",iPod_Control/Music/F00/QPMR.mp3,,MP3,192,44100,3366716,138,3,No rating,2012-09-14 17:33:42 UTC,3430488822,,
Elimination,,,0,3.10 MB,"2 minutes, 7 seconds",iPod_Control/Music/F02/KUYA.mp3,,MP3,192,44100,3095879,127,3,No rating,2012-09-14 17:37:49 UTC,3430489069,,
Live Like I'm Real,Born of Osiris,,0,3.93 MB,"2 minutes, 42 seconds",iPod_Control/Music/F02/TCTK.mp3,,MP3,192,44100,3927200,162,2,No rating,2012-09-14 17:38:39 UTC,3430489119,,
The Takeover,Born of Osiris,,0,4.43 MB,"3 minutes, 3 seconds",iPod_Control/Music/F01/HVGZ.mp3,,MP3,192,44100,4431885,183,4,No rating,2012-09-14 17:45:30 UTC,3430489530,,
Eradication,,,0,4.73 MB,"3 minutes, 54 seconds",iPod_Control/Music/F02/SGDZ.mp3,,MP3,160,22050,4733130,234,1,No rating,2012-09-14 17:53:56 UTC,3430490036,,
Procession of Ashes,,,0,6.69 MB,"4 minutes, 37 seconds",iPod_Control/Music/F02/OEEI.mp3,,MP3,192,44100,6693253,277,4,No rating,2012-09-14 17:55:23 UTC,3430490123,,
Laid to Rest,All Shall Perish,,0,6.78 MB,"4 minutes, 41 seconds",iPod_Control/Music/F01/PVRR.mp3,,MP3,192,44100,6780398,281,1,No rating,2012-09-14 18:01:57 UTC,3430490517,,
The True Beast,All Shall Perish,,0,5.25 MB,"3 minutes, 37 seconds",iPod_Control/Music/F00/NNMT.mp3,,MP3,192,44100,5253175,217,1,No rating,2012-09-14 18:03:56 UTC,3430490636,,
Herding The Brainwashed,,,0,5.21 MB,"4 minutes, 18 seconds",iPod_Control/Music/F02/QESA.mp3,,MP3,160,22050,5213260,258,2,No rating,2012-09-14 18:12:38 UTC,3430491158,,
The Day Of Justice,Whitechapel,,0,5.49 MB,"3 minutes, 47 seconds",iPod_Control/Music/F00/KPNX.mp3,,MP3,192,44100,5490158,227,1,No rating,2012-09-14 18:14:29 UTC,3430491269,,
The Tragic Truth,Five Finger Death Punch,,0,5.65 MB,"3 minutes, 53 seconds",iPod_Control/Music/F00/MGPK.mp3,,MP3,192,44100,5648773,233,12,No rating,2012-09-15 18:58:03 UTC,3430580283,,
Back For More,Five Finger Death Punch,American Capitalist,2011,8.58 MB,"3 minutes, 22 seconds",iPod_Control/Music/F02/VKQP.mp3,Metal,MP3,320,44100,8581897,202,18,No rating,2012-09-15 19:02:35 UTC,3430580555,,
Wicked Ways,Five Finger Death Punch,American Capitalist,2011,7.98 MB,"3 minutes, 7 seconds",iPod_Control/Music/F02/ULZY.mp3,Metal,MP3,320,44100,7978987,187,9,No rating,2012-09-15 19:02:35 UTC,3430580555,,
100 Ways To Hate,Five Finger Death Punch,,2011,8.52 MB,"3 minutes, 21 seconds",iPod_Control/Music/F01/YLYZ.mp3,Metal,MP3,320,44100,8518164,201,13,No rating,2012-09-15 19:02:35 UTC,3430580555,,
