Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
I Believe in a Thing Called Love,The Darkness,Permission to Land,2003,30.25 MB,"3 minutes, 36 seconds",iPod_Control/Music/F00/W0544992.m4a,,M4A,1114,48000,30250890,216,2,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938900
Love Is Only a Feeling,The Darkness,Permission to Land,2003,35.91 MB,"4 minutes, 20 seconds",iPod_Control/Music/F01/W0095212.m4a,,M4A,1100,48000,35912305,260,2,No rating,2025-08-06 13:18:18 UTC,3837331098,Frankie Poullain; Ed Graham; Dan Hawkins; Justin Hawkins,downloaded from lucida.to: http://www.tidal.com/track/318938901
Love on the Rocks With No Ice,The Darkness,Permission to Land,2003,52.92 MB,"5 minutes, 57 seconds",iPod_Control/Music/F02/W0474828.m4a,,M4A,1183,48000,52918975,357,1,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938907
Stuck in a Rut,The Darkness,Permission to Land,2003,28.08 MB,"3 minutes, 18 seconds",iPod_Control/Music/F03/W0621311.m4a,,M4A,1128,48000,28076410,198,1,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938904
Black Shuck,The Darkness,Permission to Land,2003,29.77 MB,"3 minutes, 20 seconds",iPod_Control/Music/F04/W0066137.m4a,,M4A,1183,48000,29771457,200,1,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938897
Friday Night,The Darkness,Permission to Land,2003,24.96 MB,"2 minutes, 55 seconds",iPod_Control/Music/F05/W0932420.m4a,,M4A,1131,48000,24956626,175,3,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938905
Get Your Hands Off My Woman,The Darkness,Permission to Land,2003,25.63 MB,"2 minutes, 46 seconds",iPod_Control/Music/F06/W0587387.m4a,,M4A,1225,48000,25629244,166,3,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938898
Givin’ Up,The Darkness,Permission to Land,2003,32.65 MB,"3 minutes, 34 seconds",iPod_Control/Music/F07/W0163423.m4a,,M4A,1215,48000,32653220,214,2,3 / 5 (⭐⭐⭐),2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938903
Growing on Me,The Darkness,Permission to Land,2003,31.94 MB,"3 minutes, 31 seconds",iPod_Control/Music/F08/W0353531.m4a,,M4A,1205,48000,31940039,211,3,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938899
Holding My Own,The Darkness,Permission to Land,2003,41.10 MB,"4 minutes, 57 seconds",iPod_Control/Music/F09/W0862956.m4a,,M4A,1103,48000,41095013,297,2,No rating,2025-08-06 13:18:18 UTC,3837331098,,downloaded from lucida.to: http://www.tidal.com/track/318938908
