Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
Eight Days A Week,Beatles,The Beatles 1,1965,2.59 MB,"2 minutes, 42 seconds",iPod_Control/Music/F00/ERRH.mp3,Other,MP3,128,44100,2594589,162,0,No rating,2009-08-03 13:58:12 UTC,3332152692,John Lennon/Paul Mccartney,000;Genre=Other
Help!,Beatles,The Beatles 1,1965,2.18 MB,"2 minutes, 16 seconds",iPod_Control/Music/F01/BLXT.mp3,Other,MP3,128,44100,2178719,136,0,No rating,2009-08-03 13:58:12 UTC,3332152692,John Lennon/Paul McCartney,000;Genre=Other
Eight Days A Week,The Beatles,Beatles For Sale,1964,2.64 MB,"2 minutes, 45 seconds",iPod_Control/Music/F02/IYEL.m4a,Rock,M4A,128,44100,2644612,165,0,No rating,2009-08-03 13:58:10 UTC,3332152690,John Lennon/Paul McCartney,
You've Got To Hide Your Love Away,The Beatles,Help!,1965,2.11 MB,"2 minutes, 11 seconds",iPod_Control/Music/F00/SASN.m4a,Rock,M4A,128,44100,2105111,131,0,No rating,2009-08-03 13:58:10 UTC,3332152690,John Lennon/Paul McCartney,
I Am The Walrus,The Beatles,Love,2006,4.35 MB,"4 minutes, 28 seconds",iPod_Control/Music/F02/NJXA.m4a,Rock,M4A,128,44100,4350684,268,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
I Want To Hold Your Hand,The Beatles,Love,2006,1.37 MB,"1 minute, 22 seconds",iPod_Control/Music/F00/CCIT.m4a,Rock,M4A,128,44100,1372170,82,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
Strawberry Fields Forever,The Beatles,Love,2006,4.40 MB,"4 minutes, 31 seconds",iPod_Control/Music/F01/HDJU.m4a,Rock,M4A,128,44100,4404804,271,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
Within You Without You/Tomorrow Never Knows,The Beatles,Love,2006,3.06 MB,"3 minutes, 7 seconds",iPod_Control/Music/F00/JWJJ.m4a,Rock,M4A,128,44100,3058662,187,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
Lucy In The Sky With Diamonds,The Beatles,Love,2006,4.06 MB,"4 minutes, 10 seconds",iPod_Control/Music/F00/SZXQ.m4a,Rock,M4A,128,44100,4064964,250,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
Back In The U.S.S.R.,The Beatles,Love,2006,1.87 MB,"1 minute, 53 seconds",iPod_Control/Music/F00/HNSJ.m4a,Rock,M4A,128,44100,1871261,113,0,No rating,2009-08-03 13:58:11 UTC,3332152691,The Beatles,
