Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Deep',4,0,0,32,32,495,4.95,64,64,355,3.55,128,125,175,1.75,256,250,100,1,512,500,285,2.85,1024,1K,250,2.5,2048,2K,145,1.45,4096,4K,-215,-2.15,8192,8K,-355,-3.55,16384,16K,-460,-4.6
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Electronic',10,0,0,32,32,425,4.25,64,64,380,3.8,128,125,120,1.2,256,250,0,0,512,500,-215,-2.15,1024,1K,225,2.25,2048,2K,85,0.85,4096,4K,125,1.25,8192,8K,395,3.95,16384,16K,480,4.8
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Flat',4,0,0,32,32,0,0,64,64,0,0,128,125,0,0,256,250,0,0,512,500,0,0,1024,1K,0,0,2048,2K,0,0,4096,4K,0,0,8192,8K,0,0,16384,16K,0,0
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Hip-Hop',7,0,0,32,32,500,5,64,64,425,4.25,128,125,150,1.5,256,250,300,3,512,500,-100,-1,1024,1K,-100,-1,2048,2K,150,1.5,4096,4K,-50,-0.5,8192,8K,200,2,16384,16K,300,3
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Jazz',4,0,0,32,32,400,4,64,64,300,3,128,125,150,1.5,256,250,225,2.25,512,500,-150,-1.5,1024,1K,-150,-1.5,2048,2K,0,0,4096,4K,150,1.5,8192,8K,300,3,16384,16K,375,3.75
